pathway_id,policy_id,scenario_id,pathway_name,time_step,policy_viability,legitimacy_score,equity_score,adaptive_learning_score
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,1,1.0,0.68,0.69,0.78
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,2,1.0897,0.7325,0.746,0.8486
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,3,1.1887,0.785,0.802,0.9172
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,4,1.297,0.8375,0.858,0.9858
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,5,1.4145,0.89,0.914,1.0544
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,6,1.5413,0.9425,0.97,1.123
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,7,1.6773,0.995,1.026,1.1916
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,8,1.7124,1.0431,1.0787,1.2558
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,9,1.8,1.0956,1.1347,1.3244
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,10,1.8,1.1481,1.1907,1.393
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,11,1.8,1.2006,1.2467,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,12,1.8,1.2531,1.3027,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,13,1.8,1.3056,1.3587,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,14,1.8,1.3581,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,15,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,16,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,17,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,18,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,19,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,20,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,21,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,22,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,23,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,24,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,25,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,26,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,27,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,28,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,29,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,30,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,31,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,32,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,33,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,34,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,35,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,36,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,37,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,38,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,39,1.8,1.4,1.4,1.4
AP1,P2,S1,Adaptive Long-Horizon Policy in Stable Reform Window,40,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,1,1.0,0.86,0.84,0.82
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,2,1.1167,0.9236,0.9034,0.8902
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,3,1.2438,0.9872,0.9668,0.9604
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,4,1.3814,1.0508,1.0302,1.0306
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,5,1.5294,1.1144,1.0936,1.1008
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,6,1.6878,1.178,1.157,1.171
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,7,1.8,1.2416,1.2204,1.2412
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,8,1.8,1.3008,1.2805,1.307
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,9,1.8,1.3644,1.3439,1.3772
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,10,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,11,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,12,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,13,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,14,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,15,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,16,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,17,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,18,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,19,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,20,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,21,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,22,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,23,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,24,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,25,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,26,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,27,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,28,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,29,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,30,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,31,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,32,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,33,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,34,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,35,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,36,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,37,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,38,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,39,1.8,1.4,1.4,1.4
AP2,P5,S7,Participatory Anticipatory Policy in Participatory Renewal,40,1.8,1.4,1.4,1.4
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,1,1.0,0.4,0.42,0.34
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,2,0.9442,0.4274,0.4506,0.3708
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,3,0.8932,0.4548,0.4812,0.4016
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,4,0.8468,0.4822,0.5118,0.4324
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,5,0.8052,0.5096,0.5424,0.4632
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,6,0.7683,0.537,0.573,0.494
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,7,0.7361,0.5644,0.6036,0.5248
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,8,0.5984,0.5874,0.6309,0.5512
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,9,0.575,0.6148,0.6615,0.582
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,10,0.5563,0.6422,0.6921,0.6128
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,11,0.5423,0.6696,0.7227,0.6436
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,12,0.533,0.697,0.7533,0.6744
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,13,0.5284,0.7244,0.7839,0.7052
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,14,0.5285,0.7518,0.8145,0.736
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,15,0.5334,0.7792,0.8451,0.7668
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,16,0.4328,0.8022,0.8724,0.7932
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,17,0.4464,0.8296,0.903,0.824
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,18,0.4648,0.857,0.9336,0.8548
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,19,0.4878,0.8844,0.9642,0.8856
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,20,0.5156,0.9118,0.9948,0.9164
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,21,0.5481,0.9392,1.0254,0.9472
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,22,0.5853,0.9666,1.056,0.978
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,23,0.6272,0.994,1.0866,1.0088
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,24,0.5636,1.017,1.1139,1.0352
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,25,0.6143,1.0444,1.1445,1.066
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,26,0.6697,1.0718,1.1751,1.0968
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,27,0.7299,1.0992,1.2057,1.1276
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,28,0.7947,1.1266,1.2363,1.1584
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,29,0.8642,1.154,1.2669,1.1892
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,30,0.9385,1.1814,1.2975,1.22
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,31,1.0174,1.2088,1.3281,1.2508
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,32,0.9909,1.2318,1.3554,1.2772
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,33,1.0787,1.2592,1.386,1.308
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,34,1.1712,1.2866,1.4,1.3388
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,35,1.2673,1.314,1.4,1.3696
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,36,1.3664,1.3414,1.4,1.4
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,37,1.4671,1.3688,1.4,1.4
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,38,1.5694,1.3962,1.4,1.4
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,39,1.6734,1.4,1.4,1.4
AP3,P1,S2,Short-Term Reactive Policy in Fragmented Crisis Governance,40,1.6676,1.4,1.4,1.4
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,1,1.0,0.44,0.41,0.46
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,2,0.9834,0.4719,0.4442,0.5008
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,3,0.9725,0.5038,0.4784,0.5416
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,4,0.9671,0.5357,0.5126,0.5824
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,5,0.9673,0.5676,0.5468,0.6232
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,6,0.9731,0.5995,0.581,0.664
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,7,0.9846,0.6314,0.6152,0.7048
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,8,0.8914,0.6589,0.6461,0.7412
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,9,0.9134,0.6908,0.6803,0.782
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,10,0.941,0.7227,0.7145,0.8228
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,11,0.9741,0.7546,0.7487,0.8636
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,12,1.0129,0.7865,0.7829,0.9044
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,13,1.0573,0.8184,0.8171,0.9452
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,14,1.1073,0.8503,0.8513,0.986
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,15,1.1628,0.8822,0.8855,1.0268
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,16,1.1138,0.9097,0.9164,1.0632
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,17,1.1799,0.9416,0.9506,1.104
AP4,P3,S3,Technocratic Efficiency Policy in Technological Disruption,18,1.2517,0.9735,0.9848,1.1448
