pathway_id,capacity_id,scenario_id,pathway_name,time_step,foresight_capacity,decision_uptake,legitimacy_score,learning_score
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,1,0.34,0.19,0.34,0.26
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,2,0.4067,0.2132,0.3656,0.2801
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,3,0.475,0.2364,0.3912,0.3006
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,4,0.545,0.2596,0.4168,0.3216
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,5,0.6168,0.2828,0.4424,0.343
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,6,0.6903,0.306,0.468,0.365
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,7,0.7655,0.3292,0.4936,0.3873
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,8,0.8343,0.3484,0.5162,0.4081
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,9,0.9128,0.3716,0.5418,0.4313
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,10,0.993,0.3948,0.5674,0.455
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,11,1.075,0.418,0.593,0.4792
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,12,1.1588,0.4412,0.6186,0.5038
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,13,1.2443,0.4644,0.6442,0.5289
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,14,1.3317,0.4876,0.6698,0.5545
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,15,1.4208,0.5108,0.6954,0.5805
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,16,1.5037,0.53,0.718,0.6049
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,17,1.5962,0.5532,0.7436,0.6317
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,18,1.6906,0.5764,0.7692,0.6591
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,19,1.7868,0.5996,0.7948,0.6869
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,20,1.8,0.6228,0.8204,0.7151
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,21,1.8,0.646,0.846,0.7438
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,22,1.8,0.6692,0.8716,0.773
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,23,1.8,0.6924,0.8972,0.8027
PW1,FC1,SC2,Ad Hoc Workshop Under Strategy Theater,24,1.8,0.7116,0.9198,0.8307
