"signal_id","signal_name","domain","signal_type","novelty","relevance","urgency","evidence_quality","affected_voice","vulnerability","lead_time_value","description","warning_score","warning_level"
"S1","Rising heat-health emergency demand","climate_health","stress_signal",0.58,0.9,0.88,0.82,0.68,0.92,0.8,"Heat exposure and health burden are increasing before formal adaptation capacity catches up.",0.8166,"Watch closely"
"S2","Public AI appeal failures","ai_governance","accountability_signal",0.72,0.86,0.78,0.74,0.74,0.86,0.72,"Appeals and complaints suggest automated public systems may be outpacing accountability capacity.",0.7858,"Watch closely"
"S3","Care workforce exits","care_systems","labor_signal",0.6,0.84,0.8,0.78,0.76,0.9,0.7,"Care systems show early signs that hidden labor buffers are being exhausted.",0.7818,"Watch closely"
"S5","Energy burden and peak-load stress","energy_systems","infrastructure_signal",0.62,0.86,0.82,0.78,0.66,0.86,0.74,"Energy affordability and grid stress are converging with climate exposure.",0.78,"Watch closely"
"S4","Infrastructure service interruptions","infrastructure","resilience_signal",0.54,0.88,0.86,0.8,0.62,0.82,0.76,"Repeated interruptions suggest deferred maintenance is becoming visible risk.",0.7776,"Watch closely"
"S6","Regional water conflict","food_water_ecology","ecological_signal",0.7,0.84,0.8,0.7,0.7,0.88,0.68,"Local water conflict may indicate broader food-water-ecology stress.",0.7724,"Watch closely"
"S7","Trust divergence across communities","institutional_trust","legitimacy_signal",0.66,0.88,0.78,0.68,0.72,0.84,0.66,"Uneven trust may signal fragmentation before cooperation breaks down.",0.765,"Watch closely"
"S8","Fiscal stress after repeated emergencies","public_finance","fiscal_signal",0.64,0.86,0.84,0.72,0.6,0.8,0.7,"Repeated emergency spending may crowd out prevention and resilience investment.",0.7606,"Watch closely"
"S9","Supply security disruption patterns","geopolitical_supply","systemic_signal",0.72,0.82,0.78,0.7,0.56,0.74,0.64,"Supply interruptions may indicate strategic material and logistics fragility.",0.7292,"Monitor"
"S10","Education-futures relevance gap","education_civic_capacity","learning_signal",0.68,0.76,0.66,0.62,0.74,0.72,0.6,"Learning systems may be misaligned with civic uncertainty and future problem-solving.",0.6904,"Monitor"
