record_id,scenario_id,group_name,time_period,benefit,risk,net_welfare,justice_adjusted_score,vulnerability_gap,description
SDP15,EFS8,Future Generation,3,0.22,0.96,-0.74,-0.853,0.88,Future generations inherit severe risk without present representation.
SDP14,EFS8,Frontline Community,3,0.25,0.92,-0.67,-0.741,0.78,Frontline communities absorb severe future burden.
SDP13,EFS8,Low-Income Group,3,0.34,0.78,-0.44,-0.477,0.66,Low-income groups experience high risk and weak protection.
SDP4,EFS6,Frontline Community,1,0.3,0.7,-0.4,-0.398,0.56,Frontline communities experience concentrated risk and weak protection.
SDP5,EFS6,Future Generation,1,0.4,0.62,-0.22,-0.214,0.52,Future generations face long-term risk without direct present voice.
SDP3,EFS6,Low-Income Group,1,0.35,0.55,-0.2,-0.133,0.34,Low-income groups face high exposure and lower voice in AI-enabled futures.
SDP12,EFS8,Middle-Income Group,3,0.58,0.42,0.16,0.308,0.04,Middle-income groups face rising insecurity under institutional short-termism.
SDP8,EFS4,Low-Income Group,2,0.62,0.38,0.24,0.44,0.0,Low-income groups receive stronger protection through justice-oriented adaptation.
SDP9,EFS4,Frontline Community,2,0.68,0.36,0.32,0.55,0.0,Frontline communities receive stronger voice and adaptation support.
SDP2,EFS6,Middle-Income Group,1,0.6,0.28,0.32,0.572,0.0,Middle-income groups receive moderate benefits with moderate transition risk.
SDP7,EFS4,Middle-Income Group,2,0.66,0.26,0.4,0.668,0.0,Middle-income groups gain moderate protection through adaptation investment.
SDP10,EFS4,Future Generation,2,0.78,0.28,0.5,0.724,0.0,Future generations benefit from climate justice and long-term stewardship.
SDP6,EFS4,High-Income Group,2,0.72,0.2,0.52,0.826,0.0,Climate justice scenario reduces some privileged benefits while preserving protection.
SDP11,EFS8,High-Income Group,3,0.86,0.24,0.62,0.929,0.0,Short-termism preserves near-term advantage for powerful groups.
SDP1,EFS6,High-Income Group,1,0.8,0.18,0.62,0.96,0.0,High-income actors receive early technological benefits and stronger protection.
